4|26.1.2021|Karvapallot|1|0|0|0|0|
1|26.1.2021|Karvapallot|0|0|1|0|0|
7|26.1.2021|Karvapallot|0|1|0|0|0|
2|26.1.2021|Karvapallot|0|0|1|0|0|
3|26.1.2021|Karvapallot|0|0|0|0|1|
8|26.1.2021|Karvapallot|0|0|1|0|0|
7|26.1.2021|Karvapallot|0|0|0|1|0|
4|26.1.2021|Karvapallot|1|0|0|0|0|
4|26.1.2021|Karvapallot|1|0|0|0|0|
2|26.1.2021|Karvapallot|1|0|0|0|0|
4|26.1.2021|Karvapallot|0|0|1|0|0|
7|26.1.2021|Karvapallot|1|0|0|0|0|
7|26.1.2021|Karvapallot|0|1|0|0|0|
4|26.1.2021|Karvapallot|0|0|0|0|1|
8|26.1.2021|Karvapallot|0|0|1|0|0|
4|26.1.2021|Karvapallot|0|0|0|1|0|
4|26.1.2021|Karvapallot|0|0|0|1|0|
