6|19.04.2021||0|0|0|1|0|
1|21.04.2021|Vastustaja|0|1|0|0|0|
1|21.04.2021|Vastustaja|0|0|0|0|1|
1|21.04.2021|Vastustaja|0|0|1|0|0|
3|21.04.2021|Vastustaja|0|0|1|0|0|
3|21.04.2021|Vastustaja|0|0|0|0|1|
3|21.04.2021|Vastustaja|0|0|0|1|0|
6|21.04.2021|Vastustaja|0|1|0|0|0|
6|21.04.2021|Vastustaja|0|0|0|0|0|
6|21.04.2021|Vastustaja|0|0|0|0|1|
7|21.04.2021|Vastustaja|0|0|1|0|0|
14|20.04.2021|Vastustaja\|Viivalla|0|1|0|0|0|
14|20.04.2021|Vastustaja\|Viivalla|0|0|0|1|0|
15|20.04.2021|Vastustaja\|Viivalla|0|1|0|0|0|
15|20.04.2021|Vastustaja\|Viivalla|0|0|0|1|0|
15|20.04.2021|Vastustaja\|Viivalla|1|0|0|0|0|
